Tweets,Topic
Branson's Virgin Atlantic considers stock market listing https://t.co/FVWBbPdZCZ,10
Student nurse left 'crying for water' in Covid hotel in Majorca https://t.co/Pep5BPuOkR,9
"Covid-19: Quarantine-free travel from France, and NHS waits could hit 14m https://t.co/BxvoFXJPJi",6
South Western Railway trains cut over Covid absences and derailment https://t.co/RjKE86JK8H,10
Covid-19: Quarantine-free travel to France resumes as UK rules change https://t.co/Mcp3DnFbkq,6
Covid in Scotland: More groups eligible for winter flu jabs https://t.co/rGwS0F16J6,10
NHS waiting lists could rise to 14 million in England next year - analysis https://t.co/AxPnr7DgJ8,10
Covid in Scotland: Physical distancing to remain in healthcare settings https://t.co/Eqw5YHWxip,10
Pop-up vaccination centre opens at The Nightingale Club in Birmingham https://t.co/HC5PCPdPGz,2
National Memorial Arboretum event off after military band told to isolate https://t.co/2IFoof3z16,6
5 steps for preventing kidney stones: https://t.co/OeKY4EJHto #HarvardHealth https://t.co/1JPWHpg22S,5
Research shows that the best brain foods are the same ones that protect your heart and blood vessels. https://t.co/URPNUrOZbD #HarvardHealth https://t.co/vB0eu8OCXT,3
6 things you should know about #vitamin D: https://t.co/DKkn5RLgUd #HarvardHealth https://t.co/gpkXcprRuF,8
"Anyone with health issues will have a more difficult time in extreme heat, including older people and people with diabetes, heart disease, asthma, and other conditions. Be prepared by knowing how to identify and treat heat-related illness: https://t.co/WjxJHNYYLl #HarvardHealth https://t.co/qfa8tAl4Du",3
Your resting heart rate can reflect your current and future health: https://t.co/FQXxvTlVXP #HarvardHealth https://t.co/7SnVf2HiRC,3
Some newer radiation therapies deliver particles directly to the cancer cell itself. One of these new therapies is now generating promising data for men with the most aggressive #prostatecancer: https://t.co/V4mKNH8GnN #HarvardHealth https://t.co/dZqkDuOItc,5
"The weight of events of the past year-plus has left many people in need of a mood boost, but even in normal times, people often struggle to find happiness. #Positivepsychology helps people find ways to improve their mood and life outlook: https://t.co/DAe6g3aXit #HarvardHealth https://t.co/PLf8vrOnFW",3
Fish oil: friend or foe? https://t.co/jNfJnUgbt4 #HarvardHealth https://t.co/IgvQggDoku,3
"Avoiding #tick bites is the best way to prevent Lyme &amp; other tick-borne illnesses. Warming temps mean that ticks now thrive in a broader geographic area for a longer portion of the year, so it’s more important than ever to protect yourself: https://t.co/oVDoZpUj7W #HarvardHealth https://t.co/44ilr9FPdp",1
These simple tips to reduce #stress can also help lower your high blood pressure: https://t.co/c3eallrjuI #HarvardHealth #COVID19 https://t.co/uUjCLgFK0K,4
"Stanford scientists found a way to predict the likelihood of relapses in lymphoma after CAR-T cell therapy through a non-invasive blood test. https://t.co/jjaGZjq5Pf
#lymphoma #sciencetwitter",3
"Go behind the scenes of Stanford’s Soundwalk, a walking experience and art installation to commemorate the losses we’ve endured during the COVID-19 pandemic. https://t.co/PCcgqUxWMx #pandemic #grief https://t.co/fZA3CpHnYVhe turned on a dime hasn't really allowed a space for reflection psychologically emotionally to think about what has happened we needed as a community away both to honor and remember the immensity of the lost both the individuals who lost their lives of families and friends who've loved them also the loss of what life was like pre-pandemic we can't heal if we can't acknowledge and honor that grief",10
"52% of #physicians said they often or always put off self-care because of time pressure, while only 15% of workers in other fields said the same. https://t.co/FSKLPucpKN 
#selfcare #burnout",10
RT @SUInfodemic: 23 days left to register for Stanford INFODEMIC! INFODEMIC will focus on vaccine hesitancy and will engage experts in the…,9
"Like most sporty kids, Steve Isono, MD, dreamed of one day going to the Olympics: He achieved that goal — just not quite how he imagined it. https://t.co/PvVUaExQNw",2
"The threespine stickleback can evolve in the amount of time it takes to complete a PhD thesis, according to Stanford's David Kingsley, PhD, professor of developmental biology. https://t.co/FPiQe39daE 
#sciencetwitter #DidYouKnow",1
"RT @StanfordDeptMed: ""The reason why it's so easy to do innovative and creative research here is really because of the ethos of the program…",1
